recclass reclat
L5 25.683330
H5 56.666670
H 61.733330
L5-6 46.800000
L6 38.500000
CV3 -39.633330
H5 38.116670
Howardite -31.250000
H5 31.608330
H4 35.250000
L5 38.016670
L5 43.266670
H5 43.390560
L6 47.633330
L6 -15.966670
Eucrite-cm 35.416670
H5 52.450000
L6 -40.975000
L6 28.783330
H5 49.600000
H5 44.600000
CO3.6 59.433330
H6 26.833330
H4 45.200000
H6 -29.800000
L5 18.700000
Stone-uncl 44.083330
Stone-uncl -11.500000
L5 12.633330
L 9.333330
L6 24.500000
CM2 -36.616670
CM2 36.600000
"Iron 1964
OC 23.050000
H5 12.000000
L6 38.121670
Eucrite-cm 26.983330
L5 49.166670
Martian (nakhlite) 31.316670
L6 13.733330
H5 12.283330
L6 35.666670
H6 38.416670
H6 32.116670
H6 19.250000
H6 33.750000
L6 -34.050000
Stone-uncl 42.516670
H4 -21.733330
Stone-uncl 
CM2 21.250000
L6 36.449170
"Iron 1870
L6 9.500000
L6 56.500000
EL6 47.525000
L6 40.000000
L4 15.366670
H5 29.947180
LL3.6 -7.450000
"Iron 1900
Stone-uncl 49.033330
L6 
LL6 
H4 52.450000
L4 56.116670
"Iron 1975
C3-ung 32.925000
H3-4 34.200000
"Iron 1912
Eucrite-pmict 44.083330
H4-6 40.085280
L6 33.725000
CM2 -32.366670
"Iron 1918
Aubrite 39.683330
H4 45.291670
Ureilite 54.816670
Stone-uncl 58.550000
OC 56.000000
L6 42.916670
H5 24.300000
H6 41.633330
H4 43.333330
"Iron 1939
LL5 47.550000
H4 57.783330
H5 52.283330
L6 58.500000
L6 47.883330
H6 33.283330
H5 46.066670
L5 6.750000
L6 38.183330
H5 36.183330
"Iron 1904
LL6 50.833330
L6 52.950000
Stone-uncl 39.000000
LL5 38.716670
H5 39.566670
"Pallasite 1981
CI1 43.883330
Eucrite 28.547500
CO3.4 47.116670
Stone-uncl 48.500000
H6 42.133330
L6 58.883330
H 38.400000
LL6 38.600000
L5 12.900000
LL6 30.180000
H3-5 24.300000
H4 37.608330
L6 -18.000000
H5 43.400000
OC 51.333330
L6 21.050000
Eucrite-mmict 55.666670
H6 17.743330
OC 32.316670
L5 -23.116670
Iron 43.483330
L3 39.800000
H5 21.300000
L6 
L5 15.083330
H5 8.066670
LL5 36.066670
LL5 -6.233330
L6 -19.133330
L5 41.484720
LL3.6 9.233330
EH3 26.200000
Eucrite-pmict 36.216670
H6 20.936940
L6 -19.533330
Iron 38.133330
Mesosiderite-A1 23.150000
H5 43.466670
H5 52.300000
L6 48.533330
Howardite 52.033330
L6 11.333670
L6 56.133330
Diogenite-pm 51.666670
H6 41.283330
Aubrite 30.125000
Eucrite-mmict -10.666670
L6 23.325000
LL5 56.400000
L6 56.633330
Aubrite 55.500000
H5 14.052000
Eucrite-pmict 35.300000
Stone-uncl 53.533330
L6 40.000000
H4 11.250000
H4 12.000000
L5 15.716670
LL3.4 44.244170
Stone-uncl 41.366670
EL6 58.666670
Eucrite-mmict 26.034720
H -32.866670
L6 25.800000
H6 29.583330
"Iron 1921
H6 30.700000
L5-6 45.275000
L5 50.533330
L6 11.583330
LL5 
L5 50.933330
H5 26.716670
CM2 66.348330
Winonaite 53.036390
H6 34.175000
Stone-uncl 38.500000
LL 31.416670
L6 48.302500
H5 49.666670
L6 39.116670
Eucrite-br 39.350000
H5 23.366670
H5 52.766670
Stone-uncl 13.333330
L6 -29.033330
L/LL5 32.083330
EH3 26.533330
H6 -30.116670
H4 17.766670
"Iron 1898
H 44.616670
L6 46.600000
H5 -26.666670
"Iron 1986
L5 28.225000
L6 52.983330
L6 26.450000
LL 24.166670
L6 51.883330
H4 23.983330
H5 19.866670
L6 25.383330
L6 38.200000
H6 26.666670
Stone-uncl 43.500000
Stone-uncl 52.200000
H5 38.137420
L5 42.475000
"Iron 1919
CR2 44.766670
L5 -32.750000
L6 38.666670
"Iron 1933
CI1 51.333330
L6 28.200000
L6 35.033330
L -44.116670
H5 46.883330
OC 31.250000
LL5 37.466670
L4 -26.100000
Stone-uncl 45.483330
H6 41.083330
Stone-uncl -23.383330
Diogenite 42.300000
Stone-uncl 50.350000
H5 44.516670
"Iron 1876
L6 -1.450000
R3.8-6 0.266670
L4-6 -10.266670
L5 51.133330
H5 27.433330
LL6 23.083330
Stone-uncl 51.533330
EH5 43.733330
LL6 45.300000
Iron 35.666670
L6 44.979170
L5 46.050000
LL5 52.750000
"Iron 1921
H6 33.484720
L6 43.666670
L6 -31.016670
LL6 19.766670
L4 -29.200000
CM2 24.166670
L6 -33.900000
L6 -31.535556
H4 -20.810000
L4 52.550000
H 34.716670
L6 43.150000
LL4 47.216670
CM2 35.866670
L5 49.233330
L 53.350000
H5 42.860830
L6 48.116670
H5 44.366670
L6 38.300000
LL6 26.750000
H5 -7.233330
H5 22.833330
LL3.00 22.250000
H4 41.716670
H6 39.438330
H6 21.683890
H4 41.050000
Eucrite-cm -8.383330
H4 -19.466670
LL4 37.416670
L5 50.616670
L6 34.750000
Diogenite 23.100000
H3.4 37.833330
L5 44.050000
Martian (shergottite) 24.550000
L6 33.650000
L6 25.850000
H5 43.500000
H6 33.716670
L6 24.333330
